ID,name_first,name_last,contact_phone,contact_email,address_street,address_city,address_state,zip_code,classification,pay_method,salary,hourly,commission_rate,routing_number,account,social_security,birthday,start_date,permission,title,dept,email,end_date
454912,Sylvester J.,Rowland,555-555-555,Sylvester.J.Rowland@uvu.edu,8628 Pede Ave,Baltimore,MD,93306,1,1,49570.97,25.2,32,5363288-2,339235-5453,123-45-678,5/1/1981,8/1/2014,Employee,Sales Rep,Sales,Sylvester.J.Rowland@uvu.edu,5/1/2019
285767,Porter,Wolfe,555-555-555,Porter.Wolfe@uvu.edu,4842 Tincidunt Av.,Miami,FL,44875,1,1,41212.83,87.54,22,16506147-0,087434-1662,123-45-678,6/1/1981,7/1/2014,Employee,Customer Service,CS,Porter.Wolfe@uvu.edu,6/1/2019
674261,Scott T.,Shields,555-555-555,Scott.T.Shields@uvu.edu,8402 Pretium Rd. Ap #163,Grand Rapids,MI,26321,1,1,86913.93,83.43,15,21871936-8,779622-5618,123-45-678,7/1/1981,6/1/2014,Employee,Sales Rep,Sales,Scott.T.Shields@uvu.edu,7/1/2019
265154,Amir,Mcintosh,555-555-555,Amir.Mcintosh@uvu.edu,83493 Nibh. Ave,West Jordan,UT,40532,3,2,91254.76,67.73,27,8752077-3,866009-0500,123-45-678,8/1/1981,5/1/2014,Employee,Customer Service,CS,Amir.Mcintosh@uvu.edu,8/1/2019
160769,Grant X.,Mccarthy,555-555-555,Grant.X.Mccarthy@uvu.edu,9846 Arcu. Road,Ketchikan,AK,99634,3,1,36025.38,79.99,11,7117844-7,288413-2164,123-45-678,9/1/1981,4/1/2014,Employee,Sales Rep,Sales,Grant.X.Mccarthy@uvu.edu,9/1/2019
426824,Mira Y.,Wolf,555-555-555,Mira.Y.Wolf@uvu.edu,37224 Pharetra Ave,Savannah,GA,22329,1,2,45576.8,26.99,34,12666803-1,158217-3462,123-45-678,10/1/1981,3/1/2014,Employee,Customer Service,CS,Mira.Y.Wolf@uvu.edu,10/1/2019
502141,Brock,Sandoval,555-555-555,Brock.Sandoval@uvu.edu,4882 Consectetuer Street,Wyoming,WY,15840,2,1,58436.75,26.25,32,13977869-3,906688-1963,123-45-678,11/1/1981,2/1/2014,Employee,Sales Rep,Sales,Brock.Sandoval@uvu.edu,11/1/2019
934003,Kelsey K.,Saunders,555-555-555,Kelsey.K.Saunders@uvu.edu,9920 Aliquam Av. Ap #128,Salt Lake City,UT,97100,1,1,42548.72,31.24,18,37723944-K,769125-4564,123-45-678,12/1/1981,1/1/2014,Employee,Developer,ENG,Kelsey.K.Saunders@uvu.edu,12/1/2019
377013,Teagan,Goodwin,555-555-555,Teagan.Goodwin@uvu.edu,P.O. Box 317,Akron,OH,66603,3,2,69765.24,84.73,13,24639186-6,433898-4976,123-45-678,1/1/1982,12/1/2013,Employee,Developer,ENG,Teagan.Goodwin@uvu.edu,1/1/2020
0,None,None,555-555-555,None@uvu.edu,000 None St.,None,NA,00000,1,1,1,1,1,00000000-0,000000-0000,123-45-678,1/1/0000,1/1/0000,Employee,None,None,None@uvu.edu,1/1/0000
